City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,nuuk,64.1835,-51.7216,3.34,81,40,4.63,GL,1713365701
232,acarau,-2.8856,-40.12,28.84,81,100,4.65,BR,1713365602
233,kourou,5.1552,-52.6478,27.03,96,100,5.35,GF,1713365703
234,kerikeri,-35.2268,173.9474,9.95,92,14,1.65,NZ,1713365703
235,kotlas,61.2611,46.6556,4.3,91,100,2.44,RU,1713365705
236,katsuren-haebaru,26.3369,127.8719,26.43,89,75,6.17,JP,1713365707
237,hermanus,-34.4187,19.2345,17.67,87,37,4.05,ZA,1713365707
238,naranjo,10.0987,-84.3782,26.34,23,51,1.22,CR,1713365708
239,swakopmund,-22.6833,14.5333,22.47,73,54,5.1,NA,1713365709
240,al fahahil,29.0825,48.1303,27.72,57,0,5.47,KW,1713365709
241,maralal,1.0968,36.698,22.66,53,99,3.72,KE,1713365710
242,almeirim,-1.5233,-52.5817,29.74,75,76,1.52,BR,1713365664
243,aldan,58.6031,125.3894,-5.14,95,100,2.86,RU,1713365719
244,bunia,1.5667,30.25,25.62,59,83,3.13,CD,1713365719
245,villa gesell,-37.2639,-56.973,20.03,57,0,11.01,AR,1713365720
246,nadi,-17.8,177.4167,22.0,88,20,0.0,FJ,1713365721
247,cienfuegos,22.1461,-80.4356,28.08,61,20,4.12,CU,1713365723
248,divo,5.8397,-5.36,34.35,49,94,2.61,CI,1713365723
249,queenstown,-31.8976,26.8753,21.03,47,91,4.06,ZA,1713365724
250,nishinoomote,30.7333,131.0,16.93,83,100,4.82,JP,1713365725
251,benjamin constant,-4.3831,-70.0311,29.07,83,75,2.06,BR,1713365608
252,mawu,29.5923,107.3139,18.8,82,44,0.54,CN,1713365726
253,ust-nera,64.5667,143.2,-10.57,97,89,2.55,RU,1713365727
254,yuzhno-kurilsk,44.0306,145.8556,3.73,98,100,2.79,RU,1713365728
255,kupang,-10.1667,123.5833,27.24,79,76,4.01,ID,1713365729
256,naze,28.3667,129.4833,21.51,94,100,2.21,JP,1713365729
257,aykhal,66.0,111.5,-4.6,89,100,10.49,RU,1713365730
258,daru,-9.0763,143.2092,27.15,87,100,7.6,PG,1713365731
259,tommot,58.9564,126.2925,-2.49,92,100,2.61,RU,1713365731
260,cherrapunji,25.3,91.7,14.51,75,15,0.44,IN,1713365617
261,hanzhong,33.0728,107.0303,19.27,70,5,0.18,CN,1713365733
262,kingston,17.997,-76.7936,29.53,69,40,2.57,JM,1713365449
263,st. john's,47.5649,-52.7093,10.71,94,100,1.74,CA,1713365610
264,benguela,-12.5763,13.4055,29.16,73,13,2.59,AO,1713365737
265,tadine,-21.55,167.8833,23.08,73,100,5.58,NC,1713365738
266,inirida,3.8653,-67.9239,34.35,50,87,2.11,CO,1713365738
267,emet,39.343,29.2585,21.48,27,53,5.01,TR,1713365739
268,invercargill,-46.4,168.35,10.57,84,100,2.24,NZ,1713365740
269,kolobrzeg,54.1757,15.5834,7.31,74,79,3.67,PL,1713365741
270,gbarnga,6.9956,-9.4722,33.82,43,100,2.6,LR,1713365741
271,sao gabriel da cachoeira,-0.1303,-67.0892,28.89,79,75,1.54,BR,1713365609
272,callao,-12.0667,-77.15,19.16,88,75,2.06,PE,1713365733
273,uturoa,-16.7333,-151.4333,27.76,79,22,7.2,PF,1713365743
274,cill airne,52.05,-9.5167,10.03,100,100,3.6,IE,1713365745
275,hovd,48.0056,91.6419,10.85,35,100,2.16,MN,1713365746
276,ghat,24.9647,10.1728,28.75,14,0,3.6,LY,1713365747
277,rovnoye,50.7765,46.0509,18.06,50,78,7.8,RU,1713365747
278,ar ruways,24.1103,52.7306,27.22,45,0,0.47,AE,1713365748
279,haiku-pauwela,20.9219,-156.3051,20.58,91,75,2.06,US,1713365749
280,koubia,11.5833,-11.9,38.97,10,4,2.66,GN,1713365749
281,jiuquan,39.7432,98.5174,16.84,13,100,0.79,CN,1713365750
282,papao,-17.75,-149.55,24.82,81,14,9.47,PF,1713365751
283,jiangyan,32.5061,120.1428,9.07,78,70,0.23,CN,1713365752
284,rivera,-30.9053,-55.5508,18.81,65,0,6.33,UY,1713365511
285,yemva,62.59,50.8594,0.72,100,100,1.4,RU,1713365753
286,balpyk bi,44.8947,78.2083,14.09,47,98,2.05,KZ,1713365754
287,la passe,45.5549,-0.8967,16.13,63,2,7.02,FR,1713365754
288,tamanrasset,22.785,5.5228,29.95,7,0,2.06,DZ,1713365755
289,lagrange,33.0393,-85.0313,22.46,53,0,2.57,US,1713365756
290,kralendijk,12.15,-68.2667,30.99,70,75,7.72,BQ,1713365757
291,chengde,40.9725,117.9361,15.84,32,29,0.96,CN,1713365758
292,dhidhdhoo,6.8833,73.1,29.54,71,72,2.02,MV,1713365759
293,nar'yan-mar,67.6713,53.087,-16.05,86,100,9.83,RU,1713365759
294,keflavik,64.0049,-22.5624,5.24,81,75,5.14,IS,1713365760
295,north bay,46.3168,-79.4663,5.79,52,100,6.6,CA,1713365596
296,magadan,59.5667,150.8,-8.04,90,54,2.74,RU,1713365761
297,port elizabeth,-33.918,25.5701,25.17,62,0,4.12,ZA,1713365762
298,iskateley,67.6803,53.1512,-16.1,86,100,9.83,RU,1713365763
299,harper,4.375,-7.7169,30.48,68,100,3.7,LR,1713365764
300,zaragoza,41.6561,-0.8773,19.16,36,20,12.86,ES,1713365703
301,portland,45.5234,-122.6762,6.01,89,0,0.45,US,1713365625
302,zdvinsk,54.7021,78.661,7.92,74,24,3.53,RU,1713365766
303,tingi,-11.3,35.0333,19.43,88,95,2.06,TZ,1713365766
304,susuman,62.7833,148.1667,-12.79,96,76,1.34,RU,1713365767
305,yelahanka,13.1075,77.6003,32.49,33,40,3.09,IN,1713365768
306,lerwick,60.1545,-1.1494,8.0,58,53,4.92,GB,1713365770
307,griffith,41.5284,-87.4237,20.15,62,75,8.23,US,1713365770
308,dali,25.7,100.1833,12.95,85,28,2.95,CN,1713365771
309,vacha,55.8008,42.7706,8.06,97,100,3.15,RU,1713365772
310,yugorsk,61.3133,63.3319,2.16,98,73,3.53,RU,1713365586
311,zouerate,22.7187,-12.4521,34.99,5,0,3.09,MR,1713365773
312,weno,7.4515,151.8468,26.97,89,75,3.09,FM,1713365774
313,azemmour,33.2895,-8.3425,20.77,62,87,5.03,MA,1713365775
314,malango,-2.9627,119.9001,19.71,99,100,1.23,ID,1713365775
315,klyuchi,52.2667,79.1667,12.12,59,100,2.71,RU,1713365776
316,cammarata,37.6299,13.6315,15.78,54,6,8.68,IT,1713365777
317,guerrero negro,27.9769,-114.0611,16.84,78,0,4.24,MX,1713365777
318,revda,56.801,59.9303,8.21,74,100,2.06,RU,1713365780
319,brookings,44.3114,-96.7984,8.43,91,100,10.8,US,1713365782
320,sosnovka,56.255,51.2842,14.9,76,100,5.34,RU,1713365783
321,zag,46.9441,99.165,7.57,39,77,2.65,MN,1713365784
322,kirakira,-10.4544,161.9205,26.7,87,100,2.28,SB,1713365785
323,masuguru,-11.3667,38.4167,22.24,98,100,1.43,TZ,1713365785
324,santa ana,33.7456,-117.8678,21.5,77,20,0.0,US,1713365786
325,shangzhi,45.2167,127.9667,11.82,44,99,1.17,CN,1713365787
326,amloh,30.6084,76.2319,28.49,13,88,3.53,IN,1713365787
327,north bend,43.4065,-124.2243,4.48,93,0,2.57,US,1713365788
328,abbeville,50.1,1.8333,10.98,61,64,6.48,FR,1713365789
329,porto novo,6.4965,2.6036,32.9,64,100,4.87,BJ,1713365685
330,bangassou,4.7413,22.8184,34.09,37,100,3.0,CF,1713365791
331,mandera,3.9366,41.867,33.79,43,91,7.63,KE,1713365792
332,gebeit,21.0667,36.3167,31.58,13,0,4.93,SD,1713365793
333,axim,4.8699,-2.2405,30.14,73,100,4.32,GH,1713365793
334,itaituba,-4.2761,-55.9836,30.09,79,40,1.54,BR,1713365794
335,binzhou,37.3667,118.0167,17.12,40,1,2.9,CN,1713365795
336,aitape,-3.1374,142.3475,25.54,90,74,1.73,PG,1713365795
337,san pedro,14.35,121.0167,29.06,81,20,2.06,PH,1713365785
338,port lincoln,-34.7333,135.8667,14.38,77,1,4.9,AU,1713365797
339,tucuma,-0.1833,-50.05,29.19,76,32,1.92,BR,1713365799
340,lebu,-37.6167,-73.65,15.78,84,67,1.63,CL,1713365799
341,plastun,44.7561,136.2939,7.87,96,100,0.6,RU,1713365800
342,suntar,62.1444,117.6319,-13.47,96,51,1.95,RU,1713365801
343,bom jesus,-9.0744,-44.3586,32.96,46,98,1.46,BR,1713365801
344,hotan,37.0997,79.9269,20.79,19,96,2.39,CN,1713365803
345,andratx,39.5755,2.4202,17.56,58,4,4.77,ES,1713365804
346,pingliang,35.5392,106.6861,15.64,68,45,2.08,CN,1713365804
347,bathsheba,13.2167,-59.5167,30.34,74,20,8.23,BB,1713365806
348,gigant,46.5066,41.3419,28.05,32,81,2.57,RU,1713365807
349,east end,34.5507,-92.341,23.25,88,100,0.45,US,1713365808
350,vadso,70.0744,29.7487,-1.91,69,75,6.69,NO,1713365808
351,andovoranto,-18.95,49.1,24.21,71,94,4.37,MG,1713365809
352,zaranj,30.9667,61.8833,15.98,77,100,3.89,AF,1713365810
353,sinop,41.7711,34.8709,21.14,39,8,2.61,TR,1713365811
